fid,InputID,TargetID,Distance
"1","99164","43451",2733375.42007211
"2","99164","43452",2773823.31812137
"3","99164","43456",2778016.59161045
"4","99164","43457",2749784.71077205
"5","99164","43458",2754328.23138819
"6","99164","43460",2724349.44973584
"7","99164","43462",2726785.70550334
"8","99164","43463",2732744.28330804
"9","99164","43464",2781268.46362095
"10","99164","43465",2730335.74008395
"11","99164","43466",2741833.04157007
"12","99164","43467",2746574.24396225
"13","99164","43468",2741504.0221501
"14","99164","97824",161519.703919552
"15","99164","97825",319394.072251506
"16","99164","97826",199860.609303248
"17","99164","97827",137851.770481406
"18","99164","97828",113990.763610251
"19","99164","97830",307911.923680888
"20","99164","97833",211198.332546293
"21","99164","97834",195882.051837092
"22","99164","97835",155440.499467314
"23","99164","97836",242061.487745414
"24","99164","97837",255419.100590694
"25","99164","97838",191229.477599081
"26","99164","97839",227073.627661206
"27","99164","97840",203543.195665814
"28","99164","97841",153458.072922769
"29","99164","97842",143863.085466782
"30","99164","97843",252188.52310878
"31","99164","97844",208371.550299342
"32","99164","97845",292700.185297472
"33","99164","97846",140934.902498693
"34","99164","97848",295807.270440888
"35","99164","97850",175538.103870704
"36","99164","97856",263059.238751703
"37","99164","97857",152847.046173407
"38","99164","97859",165704.130013885
"39","99164","97862",126494.944811395
"40","99164","97864",275088.806270325
"41","99164","97865",299522.760182729
"42","99164","97867",195949.948531174
"43","99164","97868",197894.563371049
"44","99164","97869",283074.521575463
"45","99164","97870",215862.442474337
"46","99164","97873",323073.710387562
"47","99164","97874",302870.606295387
"48","99164","97875",183547.093021098
"49","99164","97876",151265.037873179
"50","99164","97877",234382.426361461
"51","99164","97880",227550.775366615
"52","99164","97882",193169.18924288
"53","99164","97883",178865.538200113
"54","99164","94118",1085854.79285457
"55","99164","94121",1087288.29372883
"56","99164","94122",1088797.3346582
"57","99164","94123",1082940.7588169
"58","99164","94124",1088506.2983464
"59","99164","94127",1090327.74140255
"60","99164","94128",1099616.47981051
"61","99164","94129",1084221.79480783
"62","99164","94130",1078630.65051505
"63","99164","94131",1088772.31103995
"64","99164","94132",1092561.99231649
"65","99164","39531",3025092.38169265
"66","99164","42409",2620449.11671647
"67","99164","42410",2650345.10007413
"68","99164","48755",2655700.91036293
"69","99164","42411",2617162.11808898
"70","99164","42413",2643513.26785363
"71","99164","48756",2589502.46931656
"72","99164","48757",2639136.04511692
"73","99164","39532",3018327.34520575
"74","99164","39534",3028059.3982157
"75","99164","48759",2651242.32848134
"76","99164","39540",3026837.00267148
"77","99164","48760",2676879.07880313
"78","99164","48761",2586194.73266506
"79","99164","48762",2606856.01716496
"80","99164","39553",3046357.68847077
"81","99164","42420",2618879.53688198
"82","99164","39556",2989612.13879317
"83","99164","48763",2616456.82802377
"84","99164","48765",2611625.42302473
"85","99164","48766",2603246.34101261
"86","99164","39560",3013309.52292824
"87","99164","48767",2648749.41416786
"88","99164","39561",2988870.48782761
"89","99164","42431",2649787.76519932
"90","99164","42436",2637833.25537465
"91","99164","48768",2650556.614155
"92","99164","48770",2600484.77527644
"93","99164","39562",3046501.0172203
"94","99164","42437",2595670.73926297
"95","99164","95825",968839.986402126
"96","99164","95826",972770.797181852
"97","99164","95827",970186.880417624
"98","99164","95828",979156.670996491
"99","99164","95829",977285.714258351
"100","99164","95830",975064.154877471
"101","99164","95831",982339.449413379
"102","99164","95832",986666.77776283
"103","99164","95833",969451.330942567
"104","99164","33573",3692400.92286203
"105","99164","37336",2964963.86840995
"106","99164","33576",3648240.94933726
"107","99164","37337",2939140.59553798
"108","99164","37338",2936550.59064814
"109","99164","37339",2908004.49285882
"110","99164","37340",2938746.4117104
"111","99164","33578",3682278.81846989
"112","99164","37341",2959359.8274827
"113","99164","33579",3691852.53150406
"114","99164","37342",2884275.66186732
"115","99164","33584",3675472.49231158
"116","99164","33585",3634943.85051344
"117","99164","33592",3668397.82267533
"118","99164","37343",2953093.78028078
"119","99164","37345",2885523.42381835
"120","99164","33594",3683947.61023522
"121","99164","33596",3688420.82748669
"122","99164","37347",2929745.02426095
"123","99164","37348",2865171.31991729
"124","99164","37350",2953991.11363342
"125","99164","61820",2438097.13383789
"126","99164","53406",2347997.79199812
"127","99164","53501",2261208.24000569
"128","99164","53502",2227350.37491061
"129","99164","53503",2172193.76676697
"130","99164","61821",2435672.58465797
"131","99164","53504",2196546.5541684
"132","99164","53505",2278004.56741942
"133","99164","53506",2146412.87822335
"134","99164","53507",2181544.11362569
"135","99164","53508",2212612.53665526
"136","99164","61822",2432048.62101978
"137","99164","53510",2160220.84106346
"138","99164","61830",2405926.13137935
"139","99164","61831",2466517.59643945
"140","99164","53511",2261418.27805919
"141","99164","53515",2188702.89512654
"142","99164","53516",2192410.38236946
"143","99164","53517",2185662.37381045
"144","99164","61832",2482809.15178453
"145","99164","53518",2119432.19240184
"146","99164","61833",2484130.38516708
"147","99164","53520",2239081.23204762
"148","99164","53521",2226052.02521846
"149","99164","61834",2481283.41047486
"150","99164","53522",2207863.9854848
"151","99164","61839",2407388.58913497
"152","99164","61840",2424089.818447
"153","99164","53523",2248789.62683151
"154","99164","61841",2474096.08195981
"155","99164","53525",2279631.08310498
"156","99164","02457",3628913.77225607
"157","99164","02458",3632575.19112015
"158","99164","02459",3633953.8053393
"159","99164","02460",3631040.82882812
"160","99164","02461",3632615.11766357
"161","99164","02462",3628419.68628649
"162","99164","02464",3631952.12546666
"163","99164","02465",3629788.24257224
"164","99164","02466",3628403.37574686
"165","99164","02467",3636195.48553253
"166","99164","02468",3630465.40859628
"167","99164","02472",3632579.00079578
"168","99164","02474",3631901.88934622
"169","99164","02476",3630675.43190834
"170","99164","02478",3631248.53174887
"171","99164","02481",3627815.55305319
"172","99164","02482",3626746.47439745
"173","99164","02492",3631778.67260238
"174","99164","02493",3623812.79341775
"175","99164","02494",3631598.59419866
"176","99164","02532",3704542.19277298
"177","99164","02534",3706728.19871114
"178","99164","02535",3711847.74597976
"179","99164","75098",2317694.09845291
"180","99164","75101",2368157.32881884
"181","99164","75102",2388887.53223367
"182","99164","75103",2399911.70754834
"183","99164","75104",2325947.32936647
"184","99164","75105",2388907.22211599
"185","99164","75109",2408594.96612672
"186","99164","75110",2394223.07771592
"187","99164","75114",2356162.59254962
"188","99164","75115",2330819.01372578
"189","99164","75116",2322609.47310997
"190","99164","75117",2385673.32360396
"191","99164","75119",2370011.34206159
"192","99164","75124",2409330.50838924
"193","99164","75125",2351363.54534226
"194","99164","75126",2344956.8913984
"195","99164","75127",2391023.36702782
"196","99164","75132",2333343.36738155
"197","99164","75134",2334121.16584038
"198","99164","75135",2333266.61860373
"199","99164","48472",2692657.60926618
"200","99164","48473",2648252.53933692
"201","99164","42025",2614892.90906289
"202","99164","48475",2688040.32787918
"203","99164","48476",2632758.44894406
"204","99164","48502",2655855.80701347
"205","99164","42027",2589427.54512501
"206","99164","42028",2591188.81563468
"207","99164","42029",2601289.21583668
"208","99164","48503",2655942.51401993
"209","99164","42031",2576910.35039188
"210","99164","42032",2562999.60315137
"211","99164","42035",2574351.02016219
"212","99164","42036",2631309.19890939
